index,jwf_code,m_code,ean,jwf_description,simplified_description,category,price_marked,pmp_price,size
0,242370,42003974,5000382114581,BARRS PINEAPPLE CAN PM 59P,Pinappleade,flavours,TRUE,0.59,330ml
1,242400,42003940,5000382114864,BARRS TIZER CAN PM 59P,Tizer,flavours,TRUE,0.59,330ml
2,234560,42003944,5000382115021,BARRS CREAM SODA 6PK CANS PM 2.29,Cream Soda,flavours,TRUE,2.29,6x330ml
3,235130,42003957,5000382114888,BARRS COLA PET PM 1.19,Cola,flavours,TRUE,1.19,2L
4,235140,42003956,5000382114987,BARRS CREAM SODA PET PM 1.19,Cream Soda,flavours,TRUE,1.19,2L
5,235200,42003972,5000382116264,BARRS LIMEADE PET PM 1.19,Limeade,flavours,TRUE,1.19,2L
6,234570,42003943,5000382114826,BARRS LEMONADE 6PK CANS PM 2.29,Lemonade,flavours,TRUE,2.29,6x330ml
7,235270,42003813,5000382115212,BARRS RED KOLA PET PM 1.19,Red Kola,flavours,TRUE,1.19,2L
8,235120,42003966,5000382114390,BARRS CHERRYADE PET PM 1.19,Cherryade,flavours,TRUE,1.19,2L
9,240120,42003983,5000382116226,BARRS IRN BRU XTRA PET PM 1.79,Irn Bru Xtra,irn_bru,TRUE,1.79,2L
10,235190,42004040,5000382116240,BARRS LEMONADE PET PM 1.19,Lemonade,flavours,TRUE,1.19,2L
11,224410,42003818,5000382112709,BARRS IRN BRU SUGAR FREE PET PM 1.00,Irn Bru Sugar Free,irn_bru,TRUE,1.00,500ml
12,224420,42003819,5000382112723,BARRS IRN BRU XTRA PET PM 1.00,Irn Bru Xtra,irn_bru,TRUE,1.00,500ml
13,240100,42004144,5000382103943,BARRS IRN BRU PET PM 1.79,Irn Bru Regular,irn_bru,TRUE,1.79,2L
14,224400,42003817,5000382112686,BARRS IRN BRU PET PM 1.00,Irn Bru Regular,irn_bru,TRUE,1.00,500ml
15,560380,42002830,5012058003006,STRATHMORE STILL MINERAL WATER,Strathmore Still,other,FALSE,,500ml
16,217600,42004133,5000382109587,RUBICON SPRING BLACKCHERRY RASP PM 1.00,Spring Black Cherry and Raspberry,rubicon,TRUE,1.00,500ml
17,217620,42004134,5000382109600,RUBICON SPRING ORANGE MANGO PM 1.00,Spring Orange and Mango,rubicon,TRUE,1.00,500ml
18,217630,42004135,5000382109624,RUBICON SPRING STRAWBERRY KIWI PM 1.00,Spring Strawberry and Kiwi,rubicon,TRUE,1.00,500ml
19,223190,42004136,5000382111085,RUBICON SPRING PINEAPPLE PASSION PM 1.00,Spring Pineapple and Passionfruit,rubicon,TRUE,1.00,500ml
20,290950,42002842,5000382102144,RUBICON SPRING BLACKCHERRY RASP,Spring Black Cherry and Raspberry,rubicon,FALSE,,500ml
21,290970,42002539,5000382102168,RUBICON SPRING ORANGE MANGO,Spring Orange and Mango,rubicon,FALSE,,500ml
22,290980,42002883,5000382102182,RUBICON SPRING STRAWBERRY KIWI,Spring Strawberry and Kiwi,rubicon,FALSE,,500ml
